"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.878884800E-2,3.795000166E-2,-1.009500027E-1,9.862950325E0,9.863539944E0
3.129938600E-2,3.105000220E-2,-8.100000024E-2,9.856050491E0,9.856432234E0
3.381007900E-2,1.695000008E-2,-4.500000179E-2,9.837000847E0,9.837118377E0
3.632338600E-2,-7.950000465E-3,-4.305000231E-2,9.868050575E0,9.868147681E0
3.883131200E-2,3.105000220E-2,-9.300000221E-2,9.844050407E0,9.844538665E0
4.134177100E-2,1.200000010E-2,-7.905000448E-2,9.847050667E0,9.847375272E0
4.385254000E-2,-6.000000052E-3,-1.009500027E-1,9.847050667E0,9.847569941E0
4.636583300E-2,-2.805000171E-2,-7.395000011E-2,9.853950500E0,9.854267901E0
4.887375800E-2,2.400000021E-2,-7.695000619E-2,9.820050240E0,9.820381052E0
5.138429500E-2,-1.050000079E-3,-6.705000252E-2,9.811050415E0,9.811279583E0
5.389498700E-2,2.400000021E-2,-3.795000166E-2,9.856050491E0,9.856152773E0
5.640829500E-2,3.405000269E-2,-6.195000187E-2,9.853950500E0,9.854204061E0
5.891622000E-2,1.695000008E-2,-6.495000422E-2,9.826950073E0,9.827179328E0
6.142675600E-2,2.595000155E-2,-7.395000011E-2,9.844050407E0,9.844362368E0
6.393744800E-2,0.000000000E0,-9.300000221E-2,9.865950584E0,9.866388900E0
6.645075600E-2,7.050000131E-3,-8.400000632E-2,9.850950241E0,9.851310895E0
6.895868100E-2,1.905000024E-2,-7.695000619E-2,9.823050499E0,9.823370364E0
7.146921800E-2,2.595000155E-2,-8.595000207E-2,9.856050491E0,9.856459410E0
7.397991000E-2,-7.950000465E-3,-1.319999993E-1,9.901950836E0,9.902833815E0
7.649316000E-2,-7.950000465E-3,-6.195000187E-2,9.868050575E0,9.868248232E0
7.900093100E-2,3.405000269E-2,-9.105000645E-2,9.823050499E0,9.823531474E0
8.151169800E-2,6.000000238E-2,-1.170000061E-1,9.837000847E0,9.837879582E0
