"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.492328900E-2,7.395000011E-2,-2.400000021E-2,9.889950752E0,9.890256341E0
2.743375000E-2,9.300000221E-2,-7.200000435E-2,9.859050751E0,9.859752264E0
2.994428900E-2,8.595000207E-2,-1.200000048E-1,9.837000847E0,9.838108206E0
3.245752000E-2,8.205000311E-2,-5.700000376E-2,9.837000847E0,9.837508163E0
3.496544400E-2,8.205000311E-2,-7.395000011E-2,9.837000847E0,9.837620976E0
3.747590300E-2,8.895000070E-2,-6.195000187E-2,9.837000847E0,9.837598059E0
3.998636500E-2,5.505000427E-2,-4.800000042E-2,9.813000679E0,9.813272483E0
4.249959600E-2,6.195000187E-2,-6.495000422E-2,9.832050323E0,9.832460011E0
4.500736700E-2,8.895000070E-2,-7.905000448E-2,9.862950325E0,9.863668188E0
4.751782600E-2,7.905000448E-2,-6.495000422E-2,9.837000847E0,9.837532875E0
5.002851900E-2,9.105000645E-2,-5.700000376E-2,9.838950157E0,9.839536539E0
5.254175000E-2,9.600000083E-2,-6.705000252E-2,9.847050667E0,9.847746876E0
5.504944900E-2,1.129500046E-1,-6.195000187E-2,9.835050583E0,9.835894239E0
5.755998500E-2,8.400000632E-2,-6.495000422E-2,9.850950241E0,9.851522479E0
6.007044700E-2,7.005000114E-2,-3.600000218E-2,9.820050240E0,9.820366068E0
6.258367800E-2,9.105000645E-2,-4.305000231E-2,9.829950333E0,9.830466263E0
6.509160700E-2,8.595000207E-2,-5.295000225E-2,9.844050407E0,9.844568021E0
6.760214300E-2,6.495000422E-2,-6.705000252E-2,9.849000931E0,9.849443311E0
7.011260500E-2,9.795000404E-2,-6.705000252E-2,9.861000061E0,9.861714461E0
7.262583600E-2,1.050000042E-1,-8.400000632E-2,9.850950241E0,9.851867927E0
7.513377600E-2,8.595000207E-2,-8.895000070E-2,9.817950249E0,9.818729378E0
7.764423500E-2,8.895000070E-2,-8.400000632E-2,9.844050407E0,9.844810639E0
8.015469700E-2,1.129500046E-1,-7.905000448E-2,9.850950241E0,9.851914903E0
8.266800400E-2,9.600000083E-2,-4.500000179E-2,9.868050575E0,9.868620124E0
8.517592900E-2,8.400000632E-2,-3.795000166E-2,9.849000931E0,9.849432244E0
8.768615800E-2,1.050000042E-1,-6.195000187E-2,9.832050323E0,9.832806129E0
9.019685100E-2,8.895000070E-2,-5.700000376E-2,9.849000931E0,9.849567525E0
9.271008100E-2,9.795000404E-2,-5.295000225E-2,9.820050240E0,9.820681474E0
9.521785300E-2,1.030500084E-1,-5.505000427E-2,9.861000061E0,9.861692147E0
9.772833100E-2,9.300000221E-2,-7.695000619E-2,9.859050751E0,9.859789653E0
1.002390230E-1,4.995000362E-2,-4.995000362E-2,9.841950417E0,9.842203920E0
1.027522540E-1,4.995000362E-2,-6.195000187E-2,9.829950333E0,9.830272445E0
1.052600250E-1,1.030500084E-1,-9.105000645E-2,9.837000847E0,9.837961937E0
1.077704850E-1,1.080000028E-1,-6.705000252E-2,9.825000763E0,9.825823105E0
1.102811770E-1,7.395000011E-2,-6.195000187E-2,9.861000061E0,9.861471929E0
1.127941770E-1,7.200000435E-2,-5.700000376E-2,9.865950584E0,9.866377954E0
1.153021020E-1,7.005000114E-2,-3.105000220E-2,9.859050751E0,9.859348498E0
1.178125620E-1,8.895000070E-2,-7.905000448E-2,9.849000931E0,9.849719810E0
1.203230900E-1,1.050000042E-1,-6.495000422E-2,9.886950493E0,9.887721353E0
1.228363210E-1,9.105000645E-2,-4.095000029E-2,9.849000931E0,9.849506909E0
1.253442460E-1,7.905000448E-2,-5.700000376E-2,9.841950417E0,9.842432926E0
1.278547060E-1,6.000000238E-2,-6.195000187E-2,9.841950417E0,9.842328272E0
1.303651670E-1,6.705000252E-2,-9.105000645E-2,9.832050323E0,9.832700513E0
1.328784750E-1,9.300000221E-2,-4.800000042E-2,9.837000847E0,9.837557556E0
1.353861690E-1,6.195000187E-2,-7.200000435E-2,9.826950073E0,9.827409096E0
1.378966290E-1,6.495000422E-2,-4.500000179E-2,9.853950500E0,9.854267297E0
1.404073210E-1,1.009500027E-1,-4.305000231E-2,9.856050491E0,9.856661478E0
1.429205520E-1,8.895000070E-2,-5.700000376E-2,9.850950241E0,9.851516724E0
